X,Y
"3,16194077197794","8,35802717744607"
"6,17751679593401","4,68166363787555"
"3,5140204307051","8,83535878073186"
"6,38819994096906","4,80080102426276"
"6,89252423687211","5,65015197981769"
"6,62326778752609","5,90966560179786"
"3,3349625385575","8,99191697794473"
"3,59427450698475","8,6352563287304"
"1,41737999613395","1,33941425787747"
"6,78415843989748","5,08783458488629"
"3,9659271646592","8,4392983297452"
"6,52181155873205","5,72942840233014"
"6,52202884263165","5,40955549685882"
"6,62994071749605","5,32363315907732"
"1,46499575664291","1,37686223610204"
"6,76322294750739","5,39618287997429"
"7,33638746755454","5,91902201994719"
"2,95313269485016","8,23988035554211"
"3,41468257031839","9,19612138178667"
"6,73384576421044","5,71075970333391"
"6,74063456143521","5,13721843998148"
"3,3133546186979","9,21498675661995"
"7,10054510585377","5,15866701770546"
"6,77950084004088","6,14670493457894"
"0,818810828336385","1,39688661915268"
"2,58839959746421","8,63657951966058"
"3,27515977504775","8,7606741735238"
"3,12128814575614","9,0527946796914"
"3,40032261808369","8,87907049553924"
"3,28829237655032","8,9157886558436"
"1,11751090293366","0,947121267726525"
"1,33910523236471","1,42744802775154"
"6,85498388499858","5,32474368992368"
"1,09560904551123","1,20241083639566"
"2,92891416745028","8,12116901360228"
"3,49385823317623","8,91741513281744"
"3,38732389374431","8,92080556448669"
"3,6256420441128","9,11186715468989"
"0,97483582254058","1,10484215397471"
"2,2285876562729","1,04600026915385"
"6,81037990745034","5,48176414394614"
"6,51451755415832","5,37008598049121"
"1,66712521271201","1,33274942960968"
"2,51278465278257","8,66816788017613"
"6,65051729818303","4,84299555269773"
"3,25688639572552","8,56355401297145"
"1,88526373685437","1,36323975569529"
"3,67091256386071","8,53250027938402"
"3,11121086528979","8,47940312393186"
"3,23941033818704","8,59763645841194"
"6,79711934929523","5,81139350922695"
"5,96890496253011","5,27395028043804"
"6,81916247911887","5,11213012925205"
"7,05528650022646","5,26325941202391"
"3,15255449568056","8,91993935252992"
"6,60559356965932","5,54936952522116"
"3,14773265430716","8,79863354622403"
"3,06917905399076","8,27924914662405"
"7,15258752923184","5,47904456590953"
"0,803818605510305","0,760696339624916"
"1,42952903717873","0,704804932742824"
"3,62415590646074","8,22517070370332"
"6,28249849245672","4,81746293643419"
"1,01752891090309","0,898303723328438"
"1,51129043585949","1,36138586176858"
"1,03550097886996","0,871757641846372"
"3,25518284065211","8,87342261406018"
"0,89457946081765","2,04954630395885"
"3,01730648334491","8,92160068345698"
"6,75958022814917","5,45740809132589"
"1,13266202792339","1,29338920857276"
"6,57292262891825","5,85390759016851"
"3,8809637122247","9,4440677487952"
"0,51649919525067","0,899966269712805"
"6,12845504933269","4,83259624513787"
"6,75820247725318","5,48321549830778"
"2,52815484472447","8,98929324206517"
"0,753121892635495","1,87296975983732"
"6,84923985109044","5,43649499263948"
"3,08060796317043","8,47862089616198"
"3,25097662926365","8,67823482583552"
"3,26976311947516","9,08226868011042"
"6,45286265643492","5,36173004604435"
"5,92501817350973","5,04396124389906"
"1,51482825294433","1,89480616723592"
"0,743298635680212","1,25895190146577"
"3,28677247303559","8,52226064508182"
"1,68634240629176","1,21350544214564"
"6,46375325799958","5,10376177850289"
"3,05915579239951","8,42661589445374"
"7,26860784460705","5,80347663199224"
"3,47941615625404",10
"3,01599658643774","9,09687008553939"
"1,48020575027196","0,83390085505438"
"1,09628599527069","1,1734216632377"
"2,95463301636209","8,58524382715498"
"6,09031608816962","5,18658036998219"
